Type,Description,Protein_g,Fat_g,Carb_g,Sugar_g,VitA_mcg,Calcium_mg
Cheese,"Cheese, goat, soft type",18.52,21.08,0,0,288,140
Yogurt,"Yogurt, vanilla or lemon flavor, nonfat milk, sweetened with low-calorie sweetener, fortified with vitamin D",3.86,0.18,7.5,7.5,2,143
Cheese,"Cheese, Mexican, blend, reduced fat",24.69,19.4,3.41,0.56,155,1146
Cheese,"Cheese, colby",23.76,32.11,2.57,0.52,264,685
Milk,"Milk, human, mature, fluid",1.03,4.38,6.89,6.89,61,32
Cheese,"Cheese food, cold pack, American",19.66,24.46,8.32,0,0,497
Yogurt,"Yogurt, fruit variety, nonfat, fortified with vitamin D",4.4,0.2,19,19,2,152
Milk,"Milk, chocolate, fluid, commercial, reduced fat, with added calcium",2.99,1.9,12.13,9.55,64,194
Milk,"Milk, nonfat, fluid, with added nonfat milk solids, vitamin A and vitamin D (fat free or skim)",3.57,0.25,5.02,5.02,64,129
Cream,"Cream, sour, cultured",2.07,19.73,2.88,2.88,176,110
Milk,"Milk, reduced fat, fluid, 2% milkfat, without added vitamin A and vitamin D",3.3,1.98,4.8,5.06,28,120
Ice cream,"Ice cream cone, chocolate covered, with nuts, flavors other than chocolate",5.21,21.88,34.38,25,32,63
Cheese,"Cheese, parmesan, hard",35.75,25.83,3.22,0.8,207,1184
Cheese,"Cheese spread, pasteurized process, American",16.41,21.23,8.73,7.32,173,562
Milk,"Milk, lowfat, fluid, 1% milkfat, with added nonfat milk solids, vitamin A and vitamin D",3.48,0.97,4.97,0,59,128
Yogurt,"Yogurt, vanilla flavor, lowfat milk, sweetened with low calorie sweetener",4.93,1.25,13.8,5.43,12,171
Cheese,"Cheese, mozzarella, part skim milk",24.26,15.92,2.77,1.13,127,782
Milk,"Milk, filled, fluid, with lauric acid oil",3.33,3.4,4.74,4.74,2,128
Cream,"Sour cream, imitation, cultured",2.4,19.52,6.63,6.63,0,3
Cheese,"Cheese, port de salut",23.78,28.2,0.57,0.57,315,650
Cheese,"Cheese, mexican, queso asadero",22.6,28.26,2.87,2.87,55,661
Yogurt,"Yogurt, Greek, non fat, vanilla, CHOBANI",9.07,0.22,8.09,7.61,0,106
Yogurt,"Yogurt, Greek, plain, nonfat",10.19,0.39,3.6,3.24,1,110
Cheese,"Cheese, caraway",25.18,29.2,3.06,0,271,673
Milk,"Milk, chocolate, fluid, commercial, reduced fat, with added vitamin A and vitamin D",2.99,1.9,12.13,9.55,64,109
Milk,"Milk, chocolate beverage, hot cocoa, homemade",3.52,2.34,10.74,9.66,51,114
Cheese,"Cheese, cheddar, reduced fat",27.35,20.41,4.06,0.26,145,761
Milk,"Milk, dry, nonfat, instant, with added vitamin A and vitamin D",35.1,0.72,52.19,52.19,709,1231
Cheese,"Cheese, American, nonfat or fat free",21.05,0,10.53,5.26,56,789
Cheese,"Cheese, camembert",19.8,24.26,0.46,0.46,241,388
Cheese,"Cheese, cheddar",24.04,33.82,1.33,0.28,263,675
Cheese,"Cheese, cheshire",23.37,30.6,4.78,0,233,643
Milk,"Milk, chocolate, fluid, commercial, lowfat, with added vitamin A and vitamin D",3.24,1,12.6,9.94,58,116
Milk,"Milk, sheep, fluid",5.98,7,5.36,0,44,193
Milk,"Milk, dry, nonfat, regular, without added vitamin A and vitamin D",36.16,0.77,51.98,51.98,6,1257
Yogurt,"Yogurt, vanilla, low fat, 11 grams protein per 8 ounce, fortified with vitamin D",4.93,1.25,13.8,13.8,12,171
Cheese,"Cheese, low-sodium, cheddar or colby",24.35,32.62,1.91,0.49,264,703
Cheese,"Cheese, blue",21.4,28.74,2.34,0.5,198,528
Cream,"Sour cream, reduced fat",7,14.1,7,0.3,119,141
Yogurt,"Yogurt, fruit, low fat, 9 grams protein per 8 ounce, fortified with vitamin D",3.98,1.15,18.64,18.64,11,138
Cheese,"Cheese, swiss",26.93,27.8,5.38,1.32,220,791
Milk,"Milk, low sodium, fluid",3.1,3.46,4.46,4.46,29,101
Cheese,"Cheese, monterey",24.48,30.28,0.68,0.5,198,746
Yogurt,"Yogurt, chocolate, nonfat milk, fortified with vitamin D",3.53,0,23.53,14.97,0,88
Milk,"Milk, nonfat, fluid, protein fortified, with added vitamin A and vitamin D (fat free and skim)",3.96,0.25,5.56,0,61,143
Yogurt,"Yogurt, Greek, strawberry, DANNON OIKOS",8.25,2.92,11.67,11,1,86
Yogurt,"Yogurt, plain, skim milk, 13 grams protein per 8 ounce",5.73,0.18,7.68,7.68,2,199
